"V1" "V2"
"GCN4" "YBR152W"
"GCN4" "YBR153W"
"GCN4" "YBR154C"
"GCN4" "YBR155W"
"GCN4" "YBR156C"
"GCN4" "YBR157C"
"GCN4" "YBR158W"
"GCN4" "YBR159W"
"GCN4" "YBR160W"
"GCN4" "YBR162C"
"GCN4" "YBR162W-A"
"GCN4" "YBR163W"
"GCN4" "YBR164C"
"GCN4" "YBR165W"
"GCN4" "YBR166C"
"GCN4" "YBR167C"
"GCN4" "YBR168W"
"GCN4" "YBR169C"
"GCN4" "YBR170C"
"GCN4" "YBR171W"
"GCN4" "YBR172C"
"GCN4" "YBR175W"
"GCN4" "YBR176W"
"GCN4" "YBR177C"
"GCN4" "YBR178W"
"GCN4" "YBR179C"
"GCN4" "YBR180W"
"GCN4" "YBR181C"
"GCN4" "YBR182C"
"GCN4" "YBR183W"
"GCN4" "YBR184W"
"GCN4" "YBR185C"
"GCN4" "YBR186W"
"GCN4" "YBR187W"
"GCN4" "YBR188C"
"GCN4" "YBR189W"
"GCN4" "YBR191W"
"GCN4" "YBR192W"
"GCN4" "YBR193C"
"GCN4" "YBR194W"
"GCN4" "YBR195C"
"GCN4" "YBR196C"
"GCN4" "YBR197C"
"GCN4" "YBR198C"
"GCN4" "YBR199W"
"GCN4" "YBR200W"
"GCN4" "YBR201W"
"GCN4" "YBR203W"
"GCN4" "YBR204C"
"GCN4" "YBR205W"
"GCN4" "YBR207W"
"GCN4" "DUR1,2"
"GCN4" "YBR210W"
"GCN4" "YBR211C"
"GCN4" "YBR212W"
"GCN4" "YBR213W"
"GCN4" "YBR214W"
"GCN4" "YBR215W"
"GCN4" "YBR216C"
"GCN4" "YBR217W"
"GCN4" "YBR218C"
"GCN4" "YBR220C"
"GCN4" "YBR221C"
"GCN4" "YBR222C"
"GCN4" "YBR223C"
"GCN4" "YBR225W"
"GCN4" "YBR227C"
"GCN4" "YBR228W"
"GCN4" "YBR229C"
"GCN4" "YBR230C"
"GCN4" "YBR231C"
"GCN4" "YBR233W"
"GCN4" "YBR234C"
"GCN4" "YBR235W"
"GCN4" "YBR236C"
"GCN4" "YBR237W"
"GCN4" "YBR238C"
"GCN4" "YBR239C"
"GCN4" "YBR240C"
"GCN4" "YBR241C"
"GCN4" "YBR242W"
"GCN4" "YBR243C"
"GCN4" "YBR244W"
"GCN4" "YBR245C"
"GCN4" "YBR246W"
"GCN4" "YBR247C"
"GCN4" "YBR248C"
"GCN4" "YBR249C"
"GCN4" "YBR250W"
"GCN4" "YBR251W"
"GCN4" "YBR252W"
"GCN4" "YBR253W"
"GCN4" "YBR254C"
"GCN4" "YBR255W"
"GCN4" "YBR256C"
"GCN4" "YBR257W"
"GCN4" "YBR258C"
"GCN4" "YBR259W"
"GCN4" "YBR260C"
"GCN4" "YBR261C"
"GCN4" "YBR262C"
